round,mean_loss,p95_loss,p99_loss,TP,FP,TN,FN,precision,recall,f1
0,0.443878173828125,2.186566114425659,5.496283054351807,43,1,99,280,0.9772727270506198,0.13312693498039854,0.23433242294500667
1,2.802111864089966,15.12424087524414,31.509368896484375,67,1,99,256,0.9852941175021627,0.20743034055085355,0.34271099455157933
2,2.7602643966674805,15.526039123535156,30.415634155273438,67,1,99,256,0.9852941175021627,0.20743034055085355,0.34271099455157933
3,3.533141613006592,20.72600555419922,39.604251861572266,125,1,99,198,0.992063491984757,0.38699690401278647,0.5567928689889436
4,4.019728660583496,24.125629425048828,45.258338928222656,136,3,97,187,0.9784172661166606,0.42105263156591166,0.5887445845121906
5,4.316449165344238,26.16804313659668,48.7772102355957,137,3,97,186,0.9785714285015306,0.42414860679801397,0.591792652343016
6,4.577938079833984,27.991796493530273,52.081241607666016,137,3,97,186,0.9785714285015306,0.42414860679801397,0.591792652343016
7,4.770986080169678,29.342824935913086,54.219512939453125,137,3,97,186,0.9785714285015306,0.42414860679801397,0.591792652343016
8,4.9161529541015625,30.360546112060547,55.88612747192383,137,3,97,186,0.9785714285015306,0.42414860679801397,0.591792652343016
9,5.051135063171387,31.229124069213867,57.575050354003906,138,3,97,185,0.9787234041859061,0.4272445820301163,0.594827581950524
10,5.105079650878906,31.48000717163086,58.14381408691406,138,3,97,185,0.9787234041859061,0.4272445820301163,0.594827581950524
11,5.193869590759277,32.17985916137695,58.94412612915039,138,3,97,185,0.9787234041859061,0.4272445820301163,0.594827581950524
12,5.266706466674805,32.59846496582031,59.88446044921875,139,3,97,184,0.9788732393676849,0.43034055726221854,0.5978494580974448
13,5.34072732925415,33.08570098876953,60.73040771484375,139,4,96,184,0.972027971959998,0.43034055726221854,0.596566519325554
14,5.393847942352295,33.409610748291016,61.371437072753906,139,4,96,184,0.972027971959998,0.43034055726221854,0.596566519325554
15,5.45339298248291,33.721988677978516,62.09040069580078,139,4,96,184,0.972027971959998,0.43034055726221854,0.596566519325554
16,5.499514102935791,34.008541107177734,62.64015197753906,139,4,96,184,0.972027971959998,0.43034055726221854,0.596566519325554
17,5.543484687805176,34.30104064941406,63.057594299316406,139,4,96,184,0.972027971959998,0.43034055726221854,0.596566519325554
18,5.574440956115723,34.452388763427734,63.451072692871094,139,4,96,184,0.972027971959998,0.43034055726221854,0.596566519325554
19,5.608864784240723,34.65087127685547,63.792869567871094,139,4,96,184,0.972027971959998,0.43034055726221854,0.596566519325554
