time_ms,batt_V,advCount,connEvents,rssi_mean,rssi_var
6621135,4.298,13358,9433,-68.05,12.79
6621890,4.297,13359,9434,-68.05,12.79
6622971,4.3,13362,9435,-68.6,14.15
6624793,4.3,13366,9438,-68.55,13.94
6625472,4.297,13367,9439,-68.55,13.94
6626736,4.299,13370,9441,-69.1,15.88
6627790,4.299,13373,9442,-69.1,15.88
6628597,4.299,13374,9443,-69.1,15.88
6629583,4.299,13376,9445,-69.1,15.88
6630782,4.299,13379,9447,-69.5,14.79
6631926,4.299,13381,9449,-69.5,14.79
6632132,4.299,13381,9449,-69.5,14.79
6634527,4.298,13386,9453,-69.5,14.79
6634729,4.298,13386,9453,-69.5,14.79
6637021,4.299,13393,9456,-69.35,13.5
6637216,4.299,13393,9456,-69.35,13.5
6638742,4.298,13397,9458,-69.05,13.63
6639758,4.298,13399,9459,-69.2,14.69
6641100,4.298,13402,9461,-69.2,14.69
6641844,4.297,13403,9462,-69.2,14.69
6643243,4.297,13406,9464,-69.45,14.26
6643438,4.297,13406,9464,-69.45,14.26
6645345,4.298,13411,9467,-69.1,17.04
6646963,4.298,13414,9470,-69.1,17.04
6647160,4.298,13414,9470,-69.1,17.04
6648727,4.296,13419,9472,-69,17.68
6650087,4.298,13422,9474,-69,17.68
6650841,4.297,13423,9475,-69,17.68
6652548,4.297,13427,9477,-69.3,16.96
6653369,4.298,13428,9478,-69.3,16.96
6654240,4.296,13430,9479,-69.35,17.19
6655915,4.297,13434,9481,-69.5,17.53
6656116,4.297,13434,9481,-69.5,17.53
6657782,4.298,13438,9484,-69.3,18.12
6659118,4.297,13441,9486,-69.65,16.66
6659306,4.297,13441,9486,-69.65,16.66
6660930,4.298,13446,9488,-69.5,17.63
6662000,4.296,13448,9489,-69.5,17.63
6662987,4.296,13450,9490,-69.5,17.63
6664415,4.298,13453,9492,-69.95,14.58
6664608,4.298,13453,9492,-69.95,14.58
6666232,4.298,13458,9494,-69.7,15.8
6667148,4.297,13460,9495,-69.6,15.31
6668218,4.298,13462,9496,-69.4,13.83
6671636,4.297,13469,9502,-69.5,14.16
6672438,4.296,13470,9503,-69.5,14.16
6673437,4.298,13472,9504,-68.85,13.71
6674592,4.298,13475,9505,-68.85,13.71
6676377,4.296,13479,9508,-68.85,13.71
6677072,4.296,13480,9509,-68.85,13.71
6678181,4.298,13483,9510,-69.25,13.67
6680457,4.298,13487,9514,-69.25,13.67
6681722,4.298,13490,9516,-69.25,13.67
6681926,4.298,13490,9516,-69.25,13.67
6683465,4.297,13496,9517,-68.9,14.09
6684801,4.297,13499,9519,-68.85,14.45
6685013,4.297,13499,9519,-68.85,14.45
6686504,4.298,13504,9521,-68.9,15.04
6687030,4.298,13504,9521,-68.65,15.19
6688965,4.296,13513,9522,-68.85,13.19
6689703,4.295,13514,9523,-68.85,13.19
6690735,4.297,13516,9524,-69.3,13.59
6691812,4.298,13519,9525,-69.45,14.58
6692727,4.296,13521,9526,-69.45,14.58
6694103,4.298,13524,9528,-69.6,15.83
6694313,4.298,13524,9528,-69.25,16.51
6696029,4.295,13529,9530,-69.25,16.51
6697033,4.295,13531,9531,-69.25,16.51
6698041,4.298,13533,9532,-69.25,16.51
6699036,4.296,13535,9533,-69.25,16.51
6700351,4.296,13537,9535,-69.25,16.51
6700557,4.296,13537,9535,-69.25,16.51
6702127,4.297,13543,9536,-68.95,17.21
6703892,4.296,13546,9539,-68.95,17.21
6704730,4.296,13547,9540,-68.95,17.21
6705649,4.295,13549,9541,-69.45,18.05
6706740,4.297,13552,9542,-69.25,18.2
6707671,4.296,13554,9543,-69.25,18.2
6708904,4.298,13557,9544,-69.25,18.2
6709674,4.296,13558,9545,-69.25,18.2
6710811,4.296,13561,9546,-69.45,19.73
6711930,4.296,13564,9547,-69.15,20.56
6713043,4.296,13566,9549,-69.15,20.56
6714647,4.296,13569,9552,-69.15,20.56
6714847,4.296,13569,9552,-69.15,20.56
6716405,4.296,13575,9553,-69.25,21.36
6718034,4.296,13578,9556,-69.25,21.36
6718228,4.296,13578,9556,-69.25,21.36
6719950,4.295,13583,9558,-69.4,19.83
6721081,4.295,13585,9560,-69.4,19.83
6721287,4.295,13585,9560,-69.4,19.83
6722852,4.296,13590,9562,-69.05,20.37
6724195,4.296,13593,9564,-68.7,19.91
6724392,4.296,13593,9564,-68.7,19.91
6726171,4.296,13597,9567,-68.75,19.57
6727042,4.296,13599,9568,-68.75,19.57
6727959,4.296,13601,9569,-68.75,19.57
6728964,4.296,13603,9570,-69.3,21.27
6731536,4.295,13608,9574,-69.3,21.27
6731740,4.295,13608,9574,-69.3,21.27
6733403,4.296,13615,9575,-68.8,20.27
6734328,4.295,13617,9576,-69.15,20.66
6735565,4.296,13621,9577,-69.1,21.04
6736266,4.295,13622,9578,-69.1,21.04
6737400,4.295,13625,9579,-69.15,21.61
6738332,4.294,13627,9580,-69.15,21.61
6739559,4.296,13630,9582,-69.15,21.61
6739762,4.296,13630,9582,-69.15,21.61
6741258,4.295,13634,9584,-69.05,20.58
6741774,4.295,13634,9584,-69.05,20.58
6743381,4.296,13641,9586,-69,20.95
6744517,4.296,13644,9587,-69,20.95
6745457,4.295,13646,9588,-69,20.95
6746393,4.296,13648,9589,-69,20.95
6747291,4.295,13650,9590,-69,20.95
6748270,4.295,13652,9591,-69,20.95
6749422,4.296,13655,9592,-68.5,19.63
6750368,4.296,13657,9593,-68.5,19.63
6750777,4.296,13657,9593,-68.8,20.48
6752827,4.295,13665,9595,-68.75,20.93
6753027,4.295,13665,9595,-68.75,20.93
