Nano-2 ready
time_ms,battery_V,rssi
38836,4.071,-68
39908,4.069,-67
40970,4.068,-66
42032,4.067,-64
43142,4.068,-70
44192,4.066,-71
45246,4.066,-63
46298,4.064,-65
47346,4.064,-64
48404,4.065,-64
49466,4.063,-72
50510,4.063,-68
51575,4.064,-67
52606,4.064,-70
53646,4.064,-76
54708,4.063,-68
55749,4.063,-70
56811,4.062,-66
57882,4.062,-68
58970,4.061,-74
60017,4.061,-68
61087,4.060,0
62126,4.059,-63
63196,4.059,-68
64266,4.058,-64
65327,4.058,-73
66381,4.058,-65
67426,4.057,-73
68469,4.057,-67
69535,4.057,-79
70612,4.056,-75
71663,4.056,-70
72719,4.056,0
73786,4.056,-79
74845,4.054,-65
75910,4.054,-77
76974,4.054,-68
78028,4.053,-61
79088,4.053,-61
80149,4.053,-71
81223,4.052,-82
82266,4.053,-67
83317,4.051,-69
84363,4.052,-68
85429,4.051,-70
86486,4.050,-73
87542,4.050,-70
88604,4.051,-71
89657,4.049,0
90716,4.049,-72
91776,4.050,-72
92839,4.049,-72
93906,4.048,-74
94956,4.049,-72
96057,4.048,-73
97114,4.048,-73
98188,4.047,-71
99271,4.047,-74
100323,4.046,-72
101417,4.046,-70
102476,4.046,-70
103526,4.045,-70
104603,4.046,-69
105646,4.044,-70
106694,4.045,-73
107768,4.045,0
108815,4.044,-74
109858,4.044,-72
110912,4.043,-70
111974,4.044,-71
113063,4.044,-75
114142,4.043,-72
115196,4.043,0
116255,4.043,-72
117316,4.041,-66
118395,4.043,-72
119446,4.041,-72
120529,4.041,-74
121619,4.041,-74
122707,4.041,-75
123780,4.042,-69
124816,4.040,-73
125886,4.039,-71
126947,4.039,-72
128012,4.039,0
129044,4.040,-74
130106,4.038,-73
131170,4.038,-72
132225,4.039,-74
133286,4.038,-69
134355,4.039,-69
135422,4.038,-71
136519,4.038,0
137587,4.039,-70
138659,4.037,-69
139712,4.038,-74
140766,4.036,-73
141822,4.036,-69
142873,4.036,-72
143958,4.036,-73
145063,4.035,-73
146152,4.034,-73
147224,4.036,-74
148276,4.035,-69
149308,4.035,-73
150410,4.035,0
151457,4.034,-72
152527,4.035,0
153576,4.034,-69
154643,4.034,-74
155737,4.034,0
156796,4.034,-72
157864,4.034,-73
158919,4.034,-70
159966,4.033,-71
161022,4.033,-71
162116,4.031,-70
163165,4.033,-70
164221,4.033,-69
165266,4.032,-72
166323,4.031,-73
167376,4.032,-74
168417,4.033,-71
169495,4.032,-70
170545,4.032,-69
171585,4.031,-72
172638,4.031,-70
173687,4.031,-70
174750,4.030,-70
175809,4.030,-69
176849,4.031,-70
177921,4.029,-73
178986,4.029,-73
180064,4.029,-71
181135,4.030,-73
182209,4.029,0
183285,4.029,-73
184336,4.029,-74
185387,4.028,-72
186447,4.029,-73
187543,4.029,-73
188587,4.028,-73
189626,4.028,-72
190752,4.028,-72
191788,4.028,-70
192855,4.028,-72
193959,4.028,-75
195017,4.028,-69
196058,4.028,-70
