time_ms,battery_voltage,rssi_dbm,ble_conn_attempts,prime_calc_ms,cpu_cycles,latency_us
2399,4.0119,-44,0,0,0,0
3425,4.01,-42,0,0,0,0
4440,4.0156,-60,0,0,0,0
5456,4.0141,-59,0,0,0,0
6470,4.0181,-64,0,0,0,0
7484,4.0166,-64,0,0,0,0
8498,4.0169,-67,0,0,0,0
9512,4.0153,-63,0,0,0,0
10541,4.0138,-57,0,0,33360,139
11555,4.0156,-59,0,0,33360,139
12570,4.0169,-61,0,0,33360,139
13584,4.0147,-60,0,0,33360,139
14599,4.0156,-59,0,0,33360,139
17382,4.0141,-64,0,7,33360,139
18397,4.0169,-66,0,7,33360,139
19412,4.0169,-63,0,7,33360,139
20427,4.0147,-67,0,7,33360,139
21458,4.0184,-57,0,7,31440,131
22473,4.0178,-54,0,7,31440,131
23488,4.0166,-53,0,7,31440,131
24503,4.0172,-53,0,7,31440,131
25517,4.0178,-55,0,7,31440,131
26531,4.0159,-55,0,7,31440,131
27545,4.0159,-59,0,7,31440,131
28559,4.0169,-57,0,7,31440,131
29573,4.0166,-54,0,7,31440,131
30587,4.0159,-60,0,7,31440,131
32134,4.0138,-62,0,7,24720,103
33149,4.0175,-56,0,7,24720,103
34164,4.0156,-58,0,7,24720,103
35179,4.0147,-57,0,7,24720,103
36194,4.0134,-58,0,7,24720,103
37209,4.0141,-54,0,7,24720,103
38224,4.0141,-61,0,7,24720,103
39238,4.0134,-63,0,7,24720,103
40252,4.0125,-63,0,7,24720,103
41266,4.0141,-66,0,7,24720,103
42293,4.0128,-57,0,7,19920,83
43308,4.0125,-52,0,7,19920,83
44322,4.0131,-52,0,7,19920,83
45336,4.0125,-51,0,7,19920,83
46351,4.0128,-50,0,7,19920,83
47807,4.0091,-56,0,7,19920,83
48822,4.0156,-56,0,7,19920,83
49836,4.0141,-58,0,7,19920,83
50851,4.0138,-62,0,7,19920,83
51866,4.0131,-57,0,7,19920,83
52962,4.0131,-55,0,7,16074960,66979
53977,4.0138,-56,0,7,16074960,66979
54992,4.0138,-55,0,7,16074960,66979
56006,4.0116,-56,0,7,16074960,66979
57020,4.0116,-54,0,7,16074960,66979
58035,4.0116,-55,0,7,16074960,66979
59049,4.0106,-58,0,7,16074960,66979
60064,4.0109,-57,0,7,16074960,66979
61079,4.0103,-58,0,7,16074960,66979
62094,4.0109,-58,0,7,16074960,66979
64018,4.0106,-59,0,7,32017440,133406
65033,4.0106,-57,0,7,32017440,133406
66047,4.0109,-60,0,7,32017440,133406
67061,4.0103,-54,0,7,32017440,133406
68075,4.0106,-55,0,7,32017440,133406
69090,4.0088,-61,0,7,32017440,133406
70105,4.0103,-56,0,7,32017440,133406
71120,4.0097,-57,0,7,32017440,133406
72135,4.0078,-63,0,7,32017440,133406
73150,4.0084,-61,0,7,32017440,133406
74313,4.0109,-58,0,7,31975200,133230
75329,4.0091,-65,0,7,31975200,133230
76344,4.0094,-60,0,7,31975200,133230
77359,4.0047,-63,0,7,31975200,133230
79023,4.0106,-65,0,7,31975200,133230
80038,4.0081,-59,0,7,31975200,133230
81054,4.0094,-59,0,7,31975200,133230
82069,4.0069,-56,0,7,31975200,133230
83084,4.0075,-57,0,7,31975200,133230
84100,4.0078,-58,0,7,31975200,133230
85260,4.0056,-54,0,7,31646160,131859
86276,4.0075,-56,0,7,31646160,131859
87291,4.005,-55,0,7,31646160,131859
88306,4.005,-54,0,7,31646160,131859
89321,4.0063,-53,0,7,31646160,131859
90335,4.0066,-53,0,7,31646160,131859
91349,4.0069,-53,0,7,31646160,131859
92363,4.0072,-56,0,7,31646160,131859
93977,4.0075,-56,0,7,31646160,131859
94993,4.0044,-55,0,7,31646160,131859
96154,4.0053,-56,0,7,31766160,132359
97169,4.005,-55,0,7,31766160,132359
98184,4.0044,-58,0,7,31766160,132359
99198,4.005,-55,0,7,31766160,132359
100213,4.0037,-63,0,7,31766160,132359
101228,4.0056,-59,0,7,31766160,132359
102243,4.0006,-55,0,7,31766160,132359
103258,4.0034,-55,0,7,31766160,132359
104273,4.0037,-64,0,7,31766160,132359
105287,4.0053,-54,0,7,31766160,132359
106447,4.0016,-56,0,7,31773120,132388
107462,4.0022,-53,0,7,31773120,132388
109124,4.0047,-56,0,7,31773120,132388
110140,4.0044,-52,0,7,31773120,132388
111156,4.0009,-53,0,7,31773120,132388
112171,4.0009,-56,0,7,31773120,132388
113186,4.0044,-65,0,7,31773120,132388
114200,4.0025,-52,0,7,31773120,132388
115214,4.0041,-53,0,7,31773120,132388
116228,4.0037,-55,0,7,31773120,132388
117389,4.0006,-56,0,7,32009280,133372
118405,4.0009,-54,0,7,32009280,133372
119419,4.0016,-57,0,7,32009280,133372
120433,4.0016,-53,0,7,32009280,133372
121447,3.9997,-55,0,7,32009280,133372
122461,3.9991,-60,0,7,32009280,133372
123475,4.0013,-56,0,7,32009280,133372
125108,4.0034,-55,0,7,32009280,133372
126123,4.0003,-62,0,7,32009280,133372
127138,3.9997,-59,0,7,32009280,133372
128299,3.9988,-57,0,7,31838880,132662
129314,4.0006,-50,0,7,31838880,132662
130328,3.9991,-52,0,7,31838880,132662
131343,3.9997,-53,0,7,31838880,132662
132358,3.9978,-58,0,7,31838880,132662
133373,3.9984,-56,0,7,31838880,132662
134388,4.0006,-56,0,7,31838880,132662
135406,3.9984,-58,0,7,31838880,132662
136420,3.9997,-52,0,7,31838880,132662
137434,3.9984,-57,0,7,31838880,132662
138595,3.9969,-55,0,7,31887600,132865
140153,4.0,-65,0,7,31887600,132865
141168,3.9975,-61,0,7,31887600,132865
142183,3.9966,-52,0,7,31887600,132865
143198,3.9969,-59,0,7,31887600,132865
144214,3.9981,-61,0,7,31887600,132865
145232,3.9975,-60,0,7,31887600,132865
146246,3.9988,-64,0,7,31887600,132865
147260,3.9959,-59,0,7,31887600,132865
148274,3.9969,-59,0,7,31887600,132865
149435,3.9975,-56,0,7,31910640,132961
150453,3.9963,-54,0,7,31910640,132961
151467,3.9969,-52,0,7,31910640,132961
152481,3.9959,-52,0,7,31910640,132961
153495,3.9947,-60,0,7,31910640,132961
154509,3.9969,-57,0,7,31910640,132961
156240,3.9978,-59,0,7,31910640,132961
157255,3.9963,-55,0,7,31910640,132961
158270,3.9959,-55,0,7,31910640,132961
159285,3.9947,-57,0,7,31910640,132961
160447,3.9956,-72,0,7,32007840,133366
161463,3.9953,-59,0,7,32007840,133366
162477,3.9966,-57,0,7,32007840,133366
163492,3.9953,-67,0,7,32007840,133366
164507,3.9938,-58,0,7,32007840,133366
165522,3.9925,-56,0,7,32007840,133366
166537,3.9956,-64,0,7,32007840,133366
167553,3.9938,-58,0,7,32007840,133366
168568,3.9934,-62,0,7,32007840,133366
169583,3.9944,-61,0,7,32007840,133366
171232,3.9922,-64,0,7,31958880,133162
172247,3.9947,-59,0,7,31958880,133162
173261,3.9938,-57,0,7,31958880,133162
174275,3.9916,-53,0,7,31958880,133162
175289,3.9931,-53,0,7,31958880,133162
176304,3.9928,-69,0,7,31958880,133162
177319,3.9944,-70,0,7,31958880,133162
178334,3.9934,-65,0,7,31958880,133162
179349,3.9913,-68,0,7,31958880,133162
180364,3.9922,-68,0,7,31958880,133162
181527,3.9931,-62,0,7,31933920,133058
