time_ms,battery_voltage,rssi_dbm,ble_conn_attempts,prime,prime_calc_ms,cpu_cycles,latency_us,wifi_attack_hits
3449,4.0094,-36,0,0,0,0,0,1
4481,3.9941,-34,2,0,0,0,0,2
5502,3.9928,-35,1,0,0,0,0,3
6521,4.025,-37,1,0,0,0,0,4
7538,4.0481,-38,1,0,0,0,0,5
8560,4.0681,-42,2,0,0,0,0,6
9579,4.0684,-35,1,0,0,0,0,7
10612,4.0591,-36,1,0,0,36000,150,8
11633,4.0569,-38,2,0,0,36000,150,9
12655,4.0566,-38,2,0,0,36000,150,10
13679,4.0578,-41,1,0,0,36000,150,11
14697,4.0641,-38,1,0,0,36000,150,12
16684,4.0688,-38,3,0,38,36000,150,13
17705,4.0644,-36,2,0,38,36000,150,14
18724,4.0631,-34,1,0,38,36000,150,15
19743,4.0597,-35,1,0,38,36000,150,16
20777,4.0631,-36,2,0,38,30480,127,17
21800,4.0556,-36,2,0,38,30480,127,18
22823,4.0556,-37,1,0,38,30480,127,19
23844,4.0556,-34,2,0,38,30480,127,20
24863,4.0506,-36,1,0,38,30480,127,21
25882,4.0463,-39,2,0,38,30480,127,22
26903,4.0359,-36,1,0,38,30480,127,23
27922,4.0363,-37,2,0,38,30480,127,24
28946,4.0281,-35,2,0,38,30480,127,25
29978,4.0287,-35,1,0,38,30480,127,26
31742,4.0244,-37,3,0,38,27600,115,27
32761,4.0228,-34,1,0,38,27600,115,28
33791,4.03,-37,1,0,38,27600,115,29
34813,4.0178,-37,2,0,38,27600,115,30
35833,4.0178,-39,1,0,38,27600,115,31
36861,4.0203,-36,1,0,38,27600,115,32
37880,4.0188,-39,2,0,38,27600,115,33
38898,4.0238,-37,1,0,38,27600,115,34
39920,4.0175,-35,2,0,38,27600,115,35
40940,4.0191,-36,1,0,38,27600,115,36
41985,4.02,-35,1,0,38,39360,164,37
43004,4.0191,-35,2,0,38,39360,164,38
44023,4.02,-39,1,0,38,39360,164,39
45056,4.0188,-34,1,0,38,39360,164,40
46585,4.0281,-41,3,0,38,39360,164,41
47607,4.0159,-40,2,0,38,39360,164,42
48627,4.015,-35,1,0,38,39360,164,43
49646,4.0169,-38,1,0,38,39360,164,44
50667,4.0141,-36,2,0,38,39360,164,45
51687,4.0147,-39,2,0,38,39360,164,46
52792,4.0216,-35,2,0,38,16336320,68068,47
53813,4.0175,-38,1,0,38,16336320,68068,48
54836,4.0159,-39,2,0,38,16336320,68068,49
55856,4.0153,-36,2,0,38,16336320,68068,50
56875,4.0138,-38,1,0,38,16336320,68068,51
57911,4.0203,-36,2,0,38,16336320,68068,52
58931,4.0163,-36,1,0,38,16336320,68068,53
59965,4.0184,-36,1,0,38,16336320,68068,54
60988,4.0147,-37,2,0,38,16336320,68068,55
62673,4.0106,-39,3,0,38,16336320,68068,56
63850,4.015,-39,1,0,38,31672800,131970,57
64871,4.0131,-37,2,0,38,31672800,131970,58
65892,4.0103,-46,2,0,38,31672800,131970,59
66916,4.0138,-39,1,0,38,31672800,131970,60
67937,4.0053,-38,1,0,38,31672800,131970,61
68957,4.0034,-37,2,0,38,31672800,131970,62
69976,4.0075,-43,1,0,38,31672800,131970,63
