time_ms,battery_voltage,rssi_dbm,ble_conn_attempts,prime_calc_ms,cpu_cycles,latency_us
2379,3.9134,-52,0,0,0,0
3402,3.9341,-52,2,0,0,0
4417,3.93,-56,2,0,0,0
5433,3.9228,-53,1,0,0,0
6448,3.9209,-51,2,0,0,0
7464,3.9231,-49,2,0,0,0
8479,3.9259,-49,1,0,0,0
9495,3.9197,-50,1,0,0,0
10528,3.92,-48,2,0,33600,140
11544,3.9209,-49,2,0,33600,140
12559,3.9194,-49,2,0,33600,140
13574,3.9159,-48,1,0,33600,140
14589,3.9209,-48,2,0,33600,140
16776,3.9181,-46,3,7,33600,140
17792,3.9184,-46,2,7,33600,140
18808,3.9197,-43,1,7,33600,140
19823,3.9188,-50,2,7,33600,140
20853,3.905,-46,1,7,29520,123
21872,3.915,-46,2,7,29520,123
22887,3.9163,-46,1,7,29520,123
23904,3.9175,-47,1,7,29520,123
24921,3.9144,-55,0,7,29520,123
25936,3.9197,-48,1,7,29520,123
26951,3.9175,-45,1,7,29520,123
27965,3.9172,-45,2,7,29520,123
28980,3.9009,-48,1,7,29520,123
30001,3.9147,-49,2,7,29520,123
31527,3.9116,-55,2,7,24720,103
32551,3.9044,-48,1,7,24720,103
33566,3.9159,-44,2,7,24720,103
34581,3.915,-45,1,7,24720,103
35597,3.9131,-45,2,7,24720,103
36612,3.9144,-45,2,7,24720,103
37631,3.91,-48,1,7,24720,103
38654,3.9147,-48,2,7,24720,103
39679,3.9122,-49,2,7,24720,103
40698,3.9006,-53,1,7,24720,103
41734,3.9109,-51,2,7,20160,84
42750,3.9103,-42,2,7,20160,84
43766,3.9122,-42,1,7,20160,84
44781,3.9138,-47,2,7,20160,84
45796,3.9084,-39,2,7,20160,84
47294,3.9147,-35,1,7,20160,84
48309,3.9134,-35,2,7,20160,84
49325,3.9119,-39,2,7,20160,84
50341,3.91,-41,1,7,20160,84
51356,3.9084,-36,2,7,20160,84
52468,3.9063,-45,2,7,16344720,68103
53484,3.9084,-36,1,7,16344720,68103
54502,3.9059,-35,1,7,16344720,68103
55517,3.9103,-50,2,7,16344720,68103
56532,3.9066,-57,2,7,16344720,68103
57547,3.9156,-50,1,7,16344720,68103
58562,3.9116,-59,1,7,16344720,68103
59577,3.9116,-53,2,7,16344720,68103
60595,3.9094,-53,1,7,16344720,68103
61611,3.9091,-52,2,7,16344720,68103
63212,3.9109,-37,2,7,32848560,136869
64229,3.9069,-53,1,7,32848560,136869
65244,3.9106,-48,2,7,32848560,136869
66259,3.8997,-38,2,7,32848560,136869
67275,3.9056,-43,0,7,32848560,136869
68295,3.9109,-37,1,7,32848560,136869
69310,3.9128,-40,2,7,32848560,136869
70324,3.9066,-40,2,7,32848560,136869
71340,3.8944,-36,1,7,32848560,136869
72356,3.9084,-53,2,7,32848560,136869
73524,3.9059,-50,2,7,32560560,135669
74539,3.9066,-51,2,7,32560560,135669
